Год,Название,Тикер,Дефолт,Надежность,Примечание
2017,Газпром,GAZP,н/п,н/п,
2017,Детский Мир,DSKY,н/п,н/п,
2017,АФК Система,AFKS,н/п,н/п,
2017,Яндекс,YDEX,н/п,н/п,
2017,Мосбиржа,MOEX,н/п,н/п,
2017,Транснефть,TRNFP,н/п,н/п,
2017,Полюс,PLZL,н/п,н/п,
2017,Сургутнефтегаз-П,SNGSP,н/п,н/п,
2017,Банковская ставка RUB,BANK_DEPOSIT_RATE_RUB,н/п,н/п,
2017,Золото/RUB TOM,GLDRUB_TOM,н/п,н/п,
2017,USD/RUB,USD_RUB,н/п,н/п,
2017,Фонд RU000A0EQ3Q5,RU000A0EQ3Q5,н/п,н/п,
2017,Фонд RU000A0JR282,RU000A0JR282,н/п,н/п,
,,,,,
2018,ОФЗ-26215,SU26215RMFS2,-,+,
2018,Роснефть-БО-01,RU000A0JUFU0,-,+,
2018,РЖД БО-001P-01R,RU000A0JXN05,-,+,
2018,Открытие Холдинг-БО-02,RU000A0JVDR9,+,-,
2018,Стройжилинвест-01,RU000A0JUQW3,-,-,
2018,Магнит,MGNT,н/п,н/п,
2018,Х5,X5,н/п,н/п,
2018,ВТБ,VTBR,н/п,н/п,
2018,Сбер,SBER,н/п,н/п,
2018,Норникель,GMKN,н/п,н/п,
2018,ЛСР,LSRG,н/п,н/п,
2018,Роснефть,ROSN,н/п,н/п,
2018,ПИК,PIKK,н/п,н/п,
2018,Газпром,GAZP,н/п,н/п,
2018,Детский Мир,DSKY,н/п,н/п,
2018,АФК Система,AFKS,н/п,н/п,
2018,Яндекс,YDEX,н/п,н/п,
2018,Мосбиржа,MOEX,н/п,н/п,
2018,Транснефть,TRNFP,н/п,н/п,
2018,Полюс,PLZL,н/п,н/п,
2018,Сургутнефтегаз-П,SNGSP,н/п,н/п,
2018,Банковская ставка RUB,BANK_DEPOSIT_RATE_RUB,н/п,н/п,
2018,Золото/RUB TOM,GLDRUB_TOM,н/п,н/п,
2018,USD/RUB,USD_RUB,н/п,н/п,
2018,Фонд RU000A0EQ3Q5,RU000A0EQ3Q5,н/п,н/п,
2018,Фонд RU000A0JR282,RU000A0JR282,н/п,н/п,
,,,,,
2019,ОФЗ-26222,SU26222RMFS8,-,+,
2019,РусГидро-01,RU000A0JRFN1,-,+,
2019,Роснефть-001P-04,RU000A0JXQK2,-,+,
2019,Стройжилинвест-БО-01,RU000A0JV334,+,-,
2019,ДЭНИ КОЛЛ-БО-01,RU000A100M47,-,-,
2019,Магнит,MGNT,н/п,н/п,
2019,Х5,X5,н/п,н/п,
2019,ВТБ,VTBR,н/п,н/п,
2019,Сбер,SBER,н/п,н/п,
2019,Норникель,GMKN,н/п,н/п,
2019,ЛСР,LSRG,н/п,н/п,
2019,Роснефть,ROSN,н/п,н/п,
2019,ПИК,PIKK,н/п,н/п,
2019,Газпром,GAZP,н/п,н/п,
2019,Детский Мир,DSKY,н/п,н/п,
2019,АФК Система,AFKS,н/п,н/п,
2019,Яндекс,YDEX,н/п,н/п,
2019,Мосбиржа,MOEX,н/п,н/п,
2019,Транснефть,TRNFP,н/п,н/п,
2019,Полюс,PLZL,н/п,н/п,
2019,Сургутнефтегаз-П,SNGSP,н/п,н/п,
2019,Банковская ставка RUB,BANK_DEPOSIT_RATE_RUB,н/п,н/п,
2019,Золото/RUB TOM,GLDRUB_TOM,н/п,н/п,
2019,USD/RUB,USD_RUB,н/п,н/п,
2019,Фонд RU000A0EQ3Q5,RU000A0EQ3Q5,н/п,н/п,
2019,Фонд RU000A0JR282,RU000A0JR282,н/п,н/п,
,,,,,
2020,ОФЗ-26234,SU26234RMFS3,-,+,
2020,ФСК Россети-22,RU000A0JSQ58,-,+,
2020,МТС-001P-14,RU000A101FH6,-,+,
2020,Дядя Дёнер-БО-П01,RU000A0ZZ7R8,+,-,
